,Assignments,Essays,Homework Help,Lab Reports,Lesson Plans,Notes,Rubrics,Syllabi,Test Prep,canonical_course_id,course_id,course_info,course_name,course_num,dept_acro,dept_id,dept_name,prof_id,prof_name,school_name,term,title,total_doc_count,type,url,verified,year
0,,,56,,,,,,1,6178399,6178399,BUSINESS 602 Micro and Macro Economics,Micro and Macro Economics,602,BUSINESS,288896,,1387087,Dr. Amitiva Chatterjee,"California State University, Monterey Bay",2,"California State University, Monterey Bay - BUSINESS 602 - Micro and Macro Economics",57,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6178399-BUSINESS602/,0,2017
1,,8,10,5,7,8,,,10,1598626,1598626,BUSINESS 4511 ,,4511,BUSINESS,288896,,373879,hendrix,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 4511",48,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1598626-BUSINESS4511/,0,2013
2,,,,,,42,,,1,1239762,1239762,PSYCH PSYCH 3 BioPsych,BioPsych,PSYCH 3,PSYCH,161550,,232048,COHEN,"California State University, Monterey Bay",2,"California State University, Monterey Bay - PSYCH PSYCH 3 - BioPsych",43,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1239762-PSYCHPSYCH-3/,0,2010
3,,,,4,,10,,,1,6547553,6547553,BIO 327 biology,biology,327,BIO,161557,,1271316,Steven R. James,"California State University, Monterey Bay",1,"California State University, Monterey Bay - BIO 327 - biology",29,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6547553-BIO327/,0,2007
4,,18,14,,,3,,,5,5171328,5171328,BUSINESS 421 Marketing Research,Marketing Research,421,BUSINESS,288896,,1134711,Murray,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 421 - Marketing Research",40,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5171328-BUSINESS421/,0,2016
5,,18,11,,,8,,,3,929721,929721,BUSINESS & ACCOUNTING FINANCIAL & MANAGERIAL ACCOUNTING,FINANCIAL & MANAGERIAL ACCOUNTING,ACCOUNTING,BUSINESS &,234661,,205376,BALZAR,"California State University, Monterey Bay",4,"California State University, Monterey Bay - BUSINESS & ACCOUNTING - FINANCIAL & MANAGERIAL ACCOUNTING",41,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/929721-BUSINESS-ACCOUNTING/,0,2009
6,,,14,,,1,,,4,6021231,6021231,BUSINESS BUS 601 MBA Program Orientation,MBA Program Orientation,BUS 601,BUSINESS,288896,,1329395,Dr. M.,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS BUS 601 - MBA Program Orientation",29,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6021231-BUSINESSBUS-601/,0,2016
7,,1,,,,19,,,1,1432273,1432273,BUSINESS 301 BUAD301,BUAD301,301,BUSINESS,288896,,279793,Franklin,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 301 - BUAD301",21,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1432273-BUSINESS301/,0,2011
8,,11,,,,,,,1,1713704,1713704,BUSINESS MGMT4670 MULTINATIONAL BUSINESS,MULTINATIONAL BUSINESS,MGMT4670,BUSINESS,288896,,425198,MADELINEDAMKAR,"California State University, Monterey Bay",1,"California State University, Monterey Bay - BUSINESS MGMT4670 - MULTINATIONAL BUSINESS",18,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1713704-BUSINESSMGMT4670/,0,2013
9,,3,9,,,5,,,5,5817285,5817285,ECONOMICS MGMT4670 MULTINATIONAL BUSINESS,MULTINATIONAL BUSINESS,MGMT4670,ECONOMICS,197951,,425198,MADELINEDAMKAR,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ECONOMICS MGMT4670 - MULTINATIONAL BUSINESS",23,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5817285-ECONOMICSMGMT4670/,0,2013
10,,,4,,,1,,,6,6154496,6154496,BUS 632 Organization and Leadership,Organization and Leadership,632,BUS,361473,,193997,,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUS 632 - Organization and Leadership",22,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6154496-BUS632/,0,2016
11,,,7,,,,,,5,8280833,8280833,BUSINESS 691 Strategic Management,Strategic Management,691,BUSINESS,288896,,193997,,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 691 - Strategic Management",20,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/8280833-BUSINESS691/,0,2018
12,,,,,,14,,,,1303413,1303413,BUSINESS 168 BUS 168,BUS 168,168,BUSINESS,288896,,235582,Weaver,"California State University, Monterey Bay",2,"California State University, Monterey Bay - BUSINESS 168 - BUS 168",14,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1303413-BUSINESS168/,0,2010
13,,6,6,,,,,,4,5788771,5788771,BUS 307 Finance,Finance,307,BUS,361473,,193997,,"California State University, Monterey Bay",1,"California State University, Monterey Bay - BUS 307 - Finance",19,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5788771-BUS307/,0,2016
14,,,1,,,7,,,,6361999,6361999,ASL 101 Beginning American Sign Language,Beginning American Sign Language,101,ASL,826675,,193997,,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ASL 101 - Beginning American Sign Language",22,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6361999-ASL101/,0,2016
15,,,10,,,2,,,2,5415946,5415946,BUS 308 Computer Information Systems,Computer Information Systems,308,BUS,361473,,193997,,"California State University, Monterey Bay",4,"California State University, Monterey Bay - BUS 308 - Computer Information Systems",18,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5415946-BUS308/,0,2016
16,,2,5,,,6,,,2,1353969,1353969,BUSINESS 687 ACCOUNTING AND FINANCE,ACCOUNTING AND FINANCE,687,BUSINESS,288896,,237911,GUTH,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 687 - ACCOUNTING AND FINANCE",16,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1353969-BUSINESS687/,0,2010
17,,,1,,,1,,,,6818688,6818688,BUSINESS 468 Business Analytics,Business Analytics,468,BUSINESS,288896,,193997,,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 468 - Business Analytics",10,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6818688-BUSINESS468/,0,2017
18,,,,,,3,,,2,1919565,1919565,BIOLOGY BIO 300 Ethics,Ethics,BIO 300,BIOLOGY,261111,,193997,,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BIOLOGY BIO 300 - Ethics",10,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1919565-BIOLOGYBIO-300/,0,2014
19,,,,,,,,,13,1352200,1352200,BUSINESS 3220 ,,3220,BUSINESS,288896,,235582,Weaver,"California State University, Monterey Bay",1,"California State University, Monterey Bay - BUSINESS 3220",13,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1352200-BUSINESS3220/,0,2009
20,,,,,,1,,,1,7836585,7836585,BUSINESS 383 TAX,TAX,383,BUSINESS,288896,,193997,,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 383 - TAX",14,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7836585-BUSINESS383/,0,2016
21,,,4,,,,,,6,6648572,6648572,PSYCHOLOGY 110 Human Biology and Behavior,Human Biology and Behavior,110,PSYCHOLOGY,818015,,1163371,Sean Sencheil,"California State University, Monterey Bay",3,"California State University, Monterey Bay - PSYCHOLOGY 110 - Human Biology and Behavior",10,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6648572-PSYCHOLOGY110/,0,2017
22,,,,,,,,,9,5374675,5374675,BUSINESS A 2 Operation Busineses,Operation Busineses,2,BUSINESS A,687554,,1182088,Jill,"California State University, Monterey Bay",4,"California State University, Monterey Bay - BUSINESS A 2 - Operation Busineses",9,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5374675-BUSINESS-A2/,0,2016
23,,,,,,,,,,870059,870059,BIO 648 ,,648,BIO,161557,,193997,,"California State University, Monterey Bay",1,"California State University, Monterey Bay - BIO 648",11,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/870059-BIO648/,0,2009
24,,,,,,8,,,,5094394,5094394,BIOLOGY 120 Biology,Biology,120,BIOLOGY,261111,,1119256,Wakida,"California State University, Monterey Bay",1,"California State University, Monterey Bay - BIOLOGY 120 - Biology",8,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5094394-BIOLOGY120/,0,2015
25,,,,,,98,,,,971182,971182,ED 20314    Lang/Literacy Curriculum II ,Lang/Literacy Curriculum II ,20314   ,ED,719598,,220266,CarolinaSerna,"California State University, Monterey Bay",3,"California State University, Monterey Bay - ED 20314    - Lang/Literacy Curriculum II ",98,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/971182-ED20314/,0,2009
26,,5,13,,,44,,,8,1210040,1210040,COMP 102 Expert Systems,Expert Systems,102,COMP,276067,,231557,Smith,"California State University, Monterey Bay",3,"California State University, Monterey Bay - COMP 102 - Expert Systems",70,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1210040-COMP102/,0,2010
27,,9,3,,,13,,,,263626,263626,HCOM HCOM 214 Interpersonnal Communications and Conflict,Interpersonnal Communications and Conflict,HCOM 214,HCOM,215782,,110972,MarySoltis,"California State University, Monterey Bay",3,"California State University, Monterey Bay - HCOM HCOM 214 - Interpersonnal Communications and Conflict",29,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/263626-HCOMHCOM-214/,0,2008
28,,1,3,4,,5,,,3,4970226,4970226,CHEM 109 general chemistry,general chemistry,109,CHEM,161564,,1094955,Mckenzie Floyd,"California State University, Monterey Bay",1,"California State University, Monterey Bay - CHEM 109 - general chemistry",26,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/4970226-CHEM109/,0,2015
29,,,11,2,,10,,,15,6096561,6096561,CST 363 Intro to Database Systems,Intro to Database Systems,363,CST,219417,,193997,,"California State University, Monterey Bay",4,"California State University, Monterey Bay - CST 363 - Intro to Database Systems",39,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6096561-CST363/,0,2016
30,,33,,,,,,,,453460,453460,ESSP 495 Capstone Thesis Seminar,Capstone Thesis Seminar,495,ESSP,142553,,158684,Staff,"California State University, Monterey Bay",3,"California State University, Monterey Bay - ESSP 495 - Capstone Thesis Seminar",33,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/453460-ESSP495/,0,2008
31,,1,9,,,8,,,9,1431551,1431551,ACCT 347 Cost accouting,Cost accouting,347,ACCT,160028,,279448,Excobar,"California State University, Monterey Bay",3,"California State University, Monterey Bay - ACCT 347 - Cost accouting",27,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1431551-ACCT347/,0,2011
33,,,3,2,,3,,,,7327798,7327798,CS 337 Computer Arcitecture,Computer Arcitecture,337,CS,161537,,1640504,Mark,"California State University, Monterey Bay",1,"California State University, Monterey Bay - CS 337 - Computer Arcitecture",11,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7327798-CS337/,0,2017
34,,,2,2,,,,,,5234564,5234564,CHEM 110 General Chemistry I,General Chemistry I,110,CHEM,161564,,1147792,Katherine Nelson,"California State University, Monterey Bay",3,"California State University, Monterey Bay - CHEM 110 - General Chemistry I",11,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5234564-CHEM110/,0,2016
35,,4,,,,,,,,6479804,6479804,CHHS 330 Collaborative leadership and community building,Collaborative leadership and community building,330,CHHS,522785,,1451190,Sandra Chapin,"California State University, Monterey Bay",1,"California State University, Monterey Bay - CHHS 330 - Collaborative leadership and community building",9,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6479804-CHHS330/,0,2016
36,,,,,,16,,,,1367003,1367003,ACCOUNTING 10S_CBA_AC Auditing Theory,Auditing Theory,10S_CBA_AC,ACCOUNTING,143342,,244340,MagdyFarag,"California State University, Monterey Bay",3,"California State University, Monterey Bay - ACCOUNTING 10S_CBA_AC - Auditing Theory",16,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1367003-ACCOUNTING10SCBAAC/,0,2010
37,,,2,1,,1,,,3,5530179,5530179,ECE 240 CIRCUIT FUNDAMENT,CIRCUIT FUNDAMENT,240,ECE,310693,,1140855,fLYNN,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ECE 240 - CIRCUIT FUNDAMENT",11,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5530179-ECE240/,0,2014
38,,,,8,,,,,,5163329,5163329,SCIENCE CHEM 210 Organic Chemistry for Biologists,Organic Chemistry for Biologists,CHEM 210,SCIENCE,215784,,1115403,Slown,"California State University, Monterey Bay",3,"California State University, Monterey Bay - SCIENCE CHEM 210 - Organic Chemistry for Biologists",8,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5163329-SCIENCECHEM-210/,0,2016
39,,1,7,,,,,,,5686572,5686572,CAFF 321 Family & Consumer Resrce Mgmt,Family & Consumer Resrce Mgmt,321,CAFF,728375,,1248792,Lori Trujillo-Cole,"California State University, Monterey Bay",1,"California State University, Monterey Bay - CAFF 321 - Family & Consumer Resrce Mgmt",8,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5686572-CAFF321/,0,2016
40,,,,,,,,,10,5435479,5435479,ANTH 315 Third World Cultures,Third World Cultures,315,ANTH,694959,,193997,,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ANTH 315 - Third World Cultures",10,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5435479-ANTH315/,0,2015
41,,1,,,,,,,8,4747641,4747641,ACCT 544 ethic acct case,ethic acct case,544,ACCT,160028,,367810,johnson,"California State University, Monterey Bay",3,"California State University, Monterey Bay - ACCT 544 - ethic acct case",9,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/4747641-ACCT544/,0,2015
42,,,3,4,,,,,2,5872212,5872212,CST 205 Multimedia Design and Programming,Multimedia Design and Programming,205,CST,219417,,1287972,Avner Biblarz,"California State University, Monterey Bay",3,"California State University, Monterey Bay - CST 205 - Multimedia Design and Programming",9,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5872212-CST205/,0,2015
43,,,2,,,5,,,1,7174779,7174779,KIN 310 Strength and Conditioning,Strength and Conditioning,310,KIN,13453,,1607413,Dr. George Beckham,"California State University, Monterey Bay",3,"California State University, Monterey Bay - KIN 310 - Strength and Conditioning",8,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7174779-KIN310/,0,2017
44,,,6,1,,1,,,,7190013,7190013,MATH 329 College Geometry,College Geometry,329,MATH,161559,,1611339,Lipika Deka,"California State University, Monterey Bay",1,"California State University, Monterey Bay - MATH 329 - College Geometry",8,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7190013-MATH329/,0,2015
45,,6,,,,3,,,,6938041,6938041,SBS 200 Communication Skills in Social Science,Communication Skills in Social Science,200,SBS,898428,,1553373,Lorenzo Ruvacabas,"California State University, Monterey Bay",3,"California State University, Monterey Bay - SBS 200 - Communication Skills in Social Science",9,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6938041-SBS200/,0,2017
46,,1,8,,,,,,,7114727,7114727,SPED 568 Methodologies for Culturally and Linguistically Diverse Students,Methodologies for Culturally and Linguistically Diverse Students,568,SPED,916870,,1593135,Casey McPherson Levitus,"California State University, Monterey Bay",4,"California State University, Monterey Bay - SPED 568 - Methodologies for Culturally and Linguistically Diverse Students",9,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7114727-SPED568/,0,2017
47,,1,,,,,,,1,6860233,6860233,CHHS 350 Intro to Public Health,Intro to Public Health,350,CHHS,522785,,1351450,Alisha Mann,"California State University, Monterey Bay",3,"California State University, Monterey Bay - CHHS 350 - Intro to Public Health",8,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6860233-CHHS350/,0,2017
48,,,,,,5,,,,7161602,7161602,SBS 385 Environmental History of California,Environmental History of California,385,SBS,898428,,1604414,Dr. Charles Fuller,"California State University, Monterey Bay",3,"California State University, Monterey Bay - SBS 385 - Environmental History of California",8,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7161602-SBS385/,0,2017
49,,4,1,2,,,,,1,7304669,7304669,ENGLISH 100 Oral and Written Communication,Oral and Written Communication,100,ENGLISH,326765,,1636192,Nelson Graff,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ENGLISH 100 - Oral and Written Communication",8,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7304669-ENGLISH100/,0,2017
53,1,,,,,,3,1,,7956975,7956975,LS 391 Culture and Cultural Diversity,Culture and Cultural Diversity,391,LS,458381,,1785988,Whang,"California State University, Monterey Bay",1,"California State University, Monterey Bay - LS 391 - Culture and Cultural Diversity",5,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7956975-LS391/,0,2011
54,,,3,,,,,,,5843421,5843421,ART 124A Drawing 1,Drawing 1,124A,ART,676825,,1280850,Holly Boruck,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ART 124A - Drawing 1",3,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5843421-ART124A/,0,2013
55,,1,1,,,,,,,8138408,8138408,HCOM 08 Dialogue & Daliberation,Dialogue & Daliberation,08,HCOM,215782,,1373975,Stephanie Spoto,"California State University, Monterey Bay",3,"California State University, Monterey Bay - HCOM 08 - Dialogue & Daliberation",2,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/8138408-HCOM08/,0,2016
56,,,,,,,,,3,5590445,5590445,CST 238 Introduction to Data Structures,Introduction to Data Structures,238,CST,219417,,1232867,Kristof,"California State University, Monterey Bay",3,"California State University, Monterey Bay - CST 238 - Introduction to Data Structures",3,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5590445-CST238/,0,2016
57,,,3,,,,,,,5308085,5308085,COMPUTER S CST363 Introduction to Databases SQL,Introduction to Databases SQL,CST363,COMPUTER S,367226,,1166399,Hong Wang,"California State University, Monterey Bay",4,"California State University, Monterey Bay - COMPUTER S CST363 - Introduction to Databases SQL",3,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5308085-COMPUTER-SCST363/,0,2016
58,,1,,,,,,,,4999264,4999264,HDEV 260 Child Development,Child Development,260,HDEV,546165,,1100029,Bill Jones,"California State University, Monterey Bay",3,"California State University, Monterey Bay - HDEV 260 - Child Development",2,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/4999264-HDEV260/,0,2016
59,,,,,,,,,2,7175647,7175647,PSYCHOLOGY 340 Developmental Psychology,Developmental Psychology,340,PSYCHOLOGY,818015,,1607617,Jane Luke,"California State University, Monterey Bay",3,"California State University, Monterey Bay - PSYCHOLOGY 340 - Developmental Psychology",2,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7175647-PSYCHOLOGY340/,0,2017
60,,,2,,,,,,,4302432,4302432,"CSE 202 Algorithms, Design and Analysis","Algorithms, Design and Analysis",202,CSE,446397,,944017,RussellImpagliazzo,"California State University, Monterey Bay",1,"California State University, Monterey Bay - CSE 202 - Algorithms, Design and Analysis",2,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/4302432-CSE202/,0,2002
61,,,,,,,,,2,7175610,7175610,PSY 200 Introduction to Research Methods and Data Analysis,Introduction to Research Methods and Data Analysis,200,PSY,161562,,1607606,Dr. Matthews,"California State University, Monterey Bay",1,"California State University, Monterey Bay - PSY 200 - Introduction to Research Methods and Data Analysis",2,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7175610-PSY200/,0,2017
62,,,,,,1,,,,1381825,1381825,CS 3220 data structures,data structures,3220,CS,161537,,253191,chingcheng,"California State University, Monterey Bay",3,"California State University, Monterey Bay - CS 3220 - data structures",1,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1381825-CS3220/,0,2010
63,,,,,,,,,1,5050062,5050062,MATH ds71 Quantitative Analysis,Quantitative Analysis,ds71,MATH,161559,,1110567,Roger Hitchcock,"California State University, Monterey Bay",3,"California State University, Monterey Bay - MATH ds71 - Quantitative Analysis",1,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5050062-MATHds71/,0,2016
64,,,1,,,,,,,7426207,7426207,CST 40973 Software Design,Software Design,40973,CST,219417,,193997,,"California State University, Monterey Bay",1,"California State University, Monterey Bay - CST 40973 - Software Design",1,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/7426207-CST40973/,0,2017
65,,,1,,,,,,,6516086,6516086,INDE 3101 Statics and Dynamics,Statics and Dynamics,3101,INDE,843647,,1458936,Reza Akhavian,"California State University, Monterey Bay",2,"California State University, Monterey Bay - INDE 3101 - Statics and Dynamics",1,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6516086-INDE3101/,0,2017
66,,,,,,1,,,,904692,904692,DOCS 081211 sss,sss,081211,DOCS,231381,,193997,,"California State University, Monterey Bay",1,"California State University, Monterey Bay - DOCS 081211 - sss",1,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/904692-DOCS081211/,0,2009
67,,,,,,,,,,6530214,6530214,SW 501 Diversity and Social Justice,Diversity and Social Justice,501,SW,845353,,1461995,wright,"California State University, Monterey Bay",1,"California State University, Monterey Bay - SW 501 - Diversity and Social Justice",1,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6530214-SW501/,0,2016
68,,69,8,,,64,,,5,1507367,1507367,ENGLISH 110 Writing,Writing,110,ENGLISH,326765,,319422,Ma,"California State University, Monterey Bay",3,"California State University, Monterey Bay - ENGLISH 110 - Writing",156,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1507367-ENGLISH110/,0,2012
71,,,,,,83,,,,971172,971172,ED 21086 Stage I Student Tchg & Sem,Stage I Student Tchg & Sem,21086,ED,719598,,220259,JeanMitchell,"California State University, Monterey Bay",3,"California State University, Monterey Bay - ED 21086 - Stage I Student Tchg & Sem",83,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/971172-ED21086/,0,2009
73,,,2,,,,,,39,720862,720862,ECONOMICS 6400 ,,6400,ECONOMICS,197951,,193997,,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ECONOMICS 6400",41,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/720862-ECONOMICS6400/,0,2009
75,,,,,,20,,,,1451240,1451240,ECON 3006 macro econ,macro econ,3006,ECON,316519,,289032,keeler,"California State University, Monterey Bay",3,"California State University, Monterey Bay - ECON 3006 - macro econ",20,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1451240-ECON3006/,0,2011
76,,,5,,,,,,13,5079860,5079860,ECE 340 ELECTRONIC 1,ELECTRONIC 1,340,ECE,310693,,1116162,JACK OU,"California State University, Monterey Bay",3,"California State University, Monterey Bay - ECE 340 - ELECTRONIC 1",18,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5079860-ECE340/,0,2015
78,,2,,,,,,,,6027203,6027203,ENGL 20 SECOND SEMESTER ENGLISH,SECOND SEMESTER ENGLISH,20,ENGL,161545,,1330971,GOUGH,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ENGL 20 - SECOND SEMESTER ENGLISH",15,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6027203-ENGL20/,0,2016
79,,3,1,4,,4,,,2,5698656,5698656,ENVS 201 enviromental science,enviromental science,201,ENVS,290485,,1250569,John S,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ENVS 201 - enviromental science",14,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5698656-ENVS201/,0,2016
80,,,1,,,1,,,1,1701852,1701852,ECON 101 ,,101,ECON,316519,,231557,Smith,"California State University, Monterey Bay",2,"California State University, Monterey Bay - ECON 101",17,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1701852-ECON101/,0,2013
